ConfigurationId_x,ProjectName,Coverage_x,ConfigurationId_y,Coverage_y
rt0.3_rndch,py-backwards,0.6307251084553737,no_deeptyper,0.6148303523994348
rt0.3_rndch,py-backwards,0.6307251084553737,rt0.1_rndch,0.6406003995057719
rt0.3_rndch,py-backwards,0.6307251084553737,rt0.2_rndch,0.6299320859620962
rt0.3_rndch,py-backwards,0.6307251084553737,rt0.3_rndch,0.6307251084553737
rt0.3_rndch,py-backwards,0.6307251084553737,rt0_rndch,0.6312360965757967
rt0_rndch,py-backwards,0.6312360965757967,no_deeptyper,0.6148303523994348
rt0_rndch,py-backwards,0.6312360965757967,rt0.1_rndch,0.6406003995057719
rt0_rndch,py-backwards,0.6312360965757967,rt0.2_rndch,0.6299320859620962
rt0_rndch,py-backwards,0.6312360965757967,rt0.3_rndch,0.6307251084553737
rt0_rndch,py-backwards,0.6312360965757967,rt0_rndch,0.6312360965757967
no_deeptyper,pyMonet,0.786758241758243,no_deeptyper,0.786758241758243
no_deeptyper,pyMonet,0.786758241758243,rt0.1_rndch,0.786758241758243
no_deeptyper,pyMonet,0.786758241758243,rt0.2_rndch,0.786758241758243
no_deeptyper,pyMonet,0.786758241758243,rt0.3_rndch,0.7867582417582425
no_deeptyper,pyMonet,0.786758241758243,rt0_rndch,0.786758241758243
rt0.1_rndch,pyMonet,0.786758241758243,no_deeptyper,0.786758241758243
rt0.1_rndch,pyMonet,0.786758241758243,rt0.1_rndch,0.786758241758243
rt0.1_rndch,pyMonet,0.786758241758243,rt0.2_rndch,0.786758241758243
rt0.1_rndch,pyMonet,0.786758241758243,rt0.3_rndch,0.7867582417582425
rt0.1_rndch,pyMonet,0.786758241758243,rt0_rndch,0.786758241758243
rt0.2_rndch,pyMonet,0.786758241758243,no_deeptyper,0.786758241758243
rt0.2_rndch,pyMonet,0.786758241758243,rt0.1_rndch,0.786758241758243
rt0.2_rndch,pyMonet,0.786758241758243,rt0.2_rndch,0.786758241758243
rt0.2_rndch,pyMonet,0.786758241758243,rt0.3_rndch,0.7867582417582425
rt0.2_rndch,pyMonet,0.786758241758243,rt0_rndch,0.786758241758243
rt0.3_rndch,pyMonet,0.7867582417582425,no_deeptyper,0.786758241758243
rt0.3_rndch,pyMonet,0.7867582417582425,rt0.1_rndch,0.786758241758243
rt0.3_rndch,pyMonet,0.7867582417582425,rt0.2_rndch,0.786758241758243
rt0.3_rndch,pyMonet,0.7867582417582425,rt0.3_rndch,0.7867582417582425
rt0.3_rndch,pyMonet,0.7867582417582425,rt0_rndch,0.786758241758243
rt0_rndch,pyMonet,0.786758241758243,no_deeptyper,0.786758241758243
rt0_rndch,pyMonet,0.786758241758243,rt0.1_rndch,0.786758241758243
rt0_rndch,pyMonet,0.786758241758243,rt0.2_rndch,0.786758241758243
rt0_rndch,pyMonet,0.786758241758243,rt0.3_rndch,0.7867582417582425
rt0_rndch,pyMonet,0.786758241758243,rt0_rndch,0.786758241758243
no_deeptyper,pypara,0.8666666666666663,no_deeptyper,0.8666666666666663
no_deeptyper,pypara,0.8666666666666663,rt0.1_rndch,0.8666666666666665
no_deeptyper,pypara,0.8666666666666663,rt0.2_rndch,0.8666666666666665
no_deeptyper,pypara,0.8666666666666663,rt0.3_rndch,0.8666666666666663
no_deeptyper,pypara,0.8666666666666663,rt0_rndch,0.8666666666666663
rt0.1_rndch,pypara,0.8666666666666665,no_deeptyper,0.8666666666666663
rt0.1_rndch,pypara,0.8666666666666665,rt0.1_rndch,0.8666666666666665
rt0.1_rndch,pypara,0.8666666666666665,rt0.2_rndch,0.8666666666666665
rt0.1_rndch,pypara,0.8666666666666665,rt0.3_rndch,0.8666666666666663
rt0.1_rndch,pypara,0.8666666666666665,rt0_rndch,0.8666666666666663
